id,sta,lat,lon,elev,staname,statype
1,AAK,42.6391,74.4942,1.645,"Ala-Archa, Kyrgyzstan",ss,
2,AFI,-13.9093,-171.7773,0.706,"AFIAMALU, SAMOA",ss,
3,AKASG,50.7012,29.2242,0.16,"Malin Array",ar,
4,AKTO,50.4348,58.0164,0.379,"AKTYUBINSK, KAZAKHSTAN",ss,
5,ANMO,34.9462,-106.4567,1.84,"ALBUQUERQUE",ss,
6,ARCES,69.5348,25.5057,0.403,"ARCESS Array, Norway",ar,
7,ASAR,-23.665134,133.90526,0.6273,"ALICE SPRINGS ARRAY",ar,
8,ASF,32.1723,36.8972,0.937,"TEL AL ASFAR",ss,
9,ATAH,-7.13506,-78.39445,3.165,"ATAHUALPA, PERU",ss,
10,ATD,11.53,42.847,0.61,"ARTA TUNNEL, DJIBOUTI",ss,
11,ATTU,52.881895,173.17038,0.1613,"ATTU ISLAND, ALASKA, USA",ss,
12,BBB,52.1847,-128.1133,0.014,"Bella Bella, Canada",ss,
13,BBTS,14.6604,-16.5334,0.06,"Babate, Senegal",ss,
14,BDFB,-15.64178,-48.01485,1.193,"BRASILIA , Brazil",ss,
15,BORG,64.7474,-21.3268,0.11,"BORGARNES",ss,
16,BOSA,-28.61405,25.25542,1.307,"BOSHOF , South Africa",ss,
17,BRTR,39.725,33.639,1.44,"KESKIN SHORT-PERIOD ARRAY, Turkey",ar,
18,BVAR,53.0249,70.3885,0.42,"BOROVOYE ARRAY, Kazakhstan",ar,
19,CFAA,-31.60475,-68.23756,0.619,"CORONEL FONTANA, ARGENTINA",ss,
20,CMAR,18.4576,98.94315,0.3083,"CHIANG MAI ARRAY, Thailand",ar,
21,CMIG,17.091,-94.8838,0.075,"COLONIA CUAUHTEMOC, OAXACA, MEXICO",ss,
22,CPUP,-26.3307,-57.331,0.1345,"VILLA FLORIDA , Paraguay",ss,
23,CTA,-20.0876,146.25,0.427,"CHARTERS TOWERS",ss,
24,DAV,7.07,125.579,0.146,"DAVAO, Philippines",ss,
25,DAVOX,46.7806,9.8797,1.83,"DAVOS",ss,
26,DBIC,6.6701,-4.8563,0.16,"DIMBROKO, Cote d'Ivoire",ss,
27,DLBC,58.43696,-130.03051,0.98,"DEASE LAKE, BRITISH COLUMBIA, CANADA",ss,
28,DZM,-22.068,166.4469,0.88,"MONT DZUMAC",ss,
29,EIL,29.6725,34.9519,0.217,"EILATH, ISRAEL",ss,
30,EKA,55.3339,-3.19229,0.308,"ESKDALEMUIR ARRAY EKA",ar,
31,ELK,40.7448,-115.2388,2.21,"ELKO, NEVADA",ss,
32,ESDC,39.6744,-3.963,0.755,"SONSECA ARRAY, Spain",ar,
33,FINES,61.4436,26.0771,0.15,"FINES ARRAY, Finland",ar,
34,FITZ,-18.09826,125.6403,0.129,"FITZROY CROSSING",ss,
35,FRB,63.7467,-68.5467,0.018,"Iqaluit, Canada",ss,
36,GERES,48.845106,13.701559,1.13246,"GERMAN EXPERIM. SEISMIC SYSTEM (GERESS), Germany",ar,
37,GNI,40.1495,44.7414,1.583,"GARNI",ss,
38,GUMO,13.5892,144.8684,0.1644,"GUAM, MARIANAS ISLANDS, UNITED STATES OF AMERICA",ss,
39,HFS,60.133474,13.69449,0.2967,"HAGFORS ARRAY, Sweden",ar,
40,HNR,-9.4322,159.9471,0.072,"HONIARA, GUADALCANAL, SOLOMON ISLANDS",ss,
41,ILAR,64.771446,-146.88665,0.3873,"EIELSON, AK ARRAY, United States of America",ar,
42,INK,68.306516,-133.52543,0.044,"INUVIK, NORTHWEST TERRITORY, CANADA",ss,
43,JCJ,27.095467,142.18463,0.164,"Chichijima, Ogasawara, Japan",ss,
44,JHJ,33.1152,139.8139,0.12,"Hachijojima, Izu Islands, Japan",ss,
45,JKA,44.11895,142.59325,0.276,"Kamikawa-Asahi, Hokkaido, Japan",ss,
46,JMIC,70.9866,-8.50515,0.158,"JAN MAYEN",ss,
47,JNU,33.121667,130.87833,0.573,"Ohita, Kyushu, Japan",ss,
48,JOW,26.836,128.2731,0.297,"Kunigami, Okinawa, Japan",ss,
49,JTS,10.2908,-84.9525,0.34,"Las Juntas de Abangares, Costa Rica",ss,
50,KAPI,-5.0142,119.7517,0.03,"Kappang, Indonesia",ss,
51,KBZ,43.726898,42.8996,1.05123,"KHABAZ",ss,
52,KDAK,57.7828,-152.5835,0.1575,"KODIAK ISLAND, ALASKA, USA",ss,
53,KEST,35.7317,9.346,0.885,"KEST, KESRA, TUNISIA",ss,
